AR Ref Nbr,Days Past Due,Aging Bucket,AR Doc Type,PF Ref Nbr,Post Date,Status,Terms,Due Date,Amount,Retainage,Open Balance,Unreleased Retainage,Released Retainage,Date Payment Received,Branch ID,Branch,Customer ID,Customer Name,Sales Rep,Service,Warranty,Project ID,Project Start Date,Project Stage,Billing Stage,Substantial Completion Date,Project Site Address 1,Project Site Address 2,Project Site City,Project Site State,Project Site Zip Code,Site = Default Billing,Billing Email,Customer Default Payment Type,Parent Account ID,Retainage Document,Billing Address 1,Billing Address 2,Billing City,Billing State,Billing Zip Code,Invoice Created By
AR003983,,,Invoice,,08/17/2025,Open,NET 5,08/22/2025,205.97,0.00,205.97,0.00,0.00,,11100,"Milwaukee, WI",BA023490,Accurate Roof Management,Khary Penebaker,,,X,,,,,"626 Pine St, Unit D Hartford, WI 53027",,,,,TRUE,dillyn@accurateroofmanagement.com,CHECK,,FALSE,"626 Pine St, Unit D Hartford, WI 53027",,,,,Benjamin Beyersdorf
AR003962,,,Invoice,PF001724,08/01/2025,Open,NET30,08/31/2025,"7,108.06",710.81,0.00,710.81,0.00,,11100,"Milwaukee, WI",BA021493,The Boldt Company,David Koehnlein,,,PR00045975,08/16/2023,Job Complete,,,300 W. Seward Street,,Ripon,WI,54971,TRUE,,CHECK,,FALSE,300 W. Seward Street,,Ripon,WI,54971,Katelyn DiMaria
AR003961,,,Credit Memo,,08/19/2025,Closed,,,450.00,0.00,0.00,0.00,0.00,08/19/2025,11102,"Clifton, NJ",BA021519,Wybrook Construction,Christopher Shields,,,X,,,,,244 W Passaic St,,Rochelle Park,NJ,7662,TRUE,,CHECK,,FALSE,204 W Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003960,,,Credit Memo,,08/19/2025,Closed,,,10.00,0.00,10.00,0.00,0.00,08/19/2025,11102,"Clifton, NJ",BA021519,Wybrook Construction,Christopher Shields,,,X,,,,,244 W Passaic St,,Rochelle Park,NJ,7662,TRUE,,CHECK,,FALSE,204 W Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003959,,,Credit Memo,,08/19/2025,Closed,,,480.00,0.00,0.00,0.00,0.00,08/19/2025,11102,"Clifton, NJ",BA021519,Wybrook Construction,Christopher Shields,,,X,,,,,244 W Passaic St,,Rochelle Park,NJ,7662,TRUE,,CHECK,,FALSE,204 W Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003958,,,Credit Memo,,08/19/2025,Closed,,,860.00,0.00,0.00,0.00,0.00,08/19/2025,11102,"Clifton, NJ",BA021519,Wybrook Construction,Christopher Shields,,,X,,,,,244 W Passaic St,,Rochelle Park,NJ,7662,TRUE,,CHECK,,FALSE,204 W Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003957,,,Credit Memo,,08/19/2025,Closed,,,328.00,0.00,0.00,0.00,0.00,08/19/2025,11102,"Clifton, NJ",BA021519,Wybrook Construction,Christopher Shields,,,X,,,,,244 W Passaic St,,Rochelle Park,NJ,7662,TRUE,,CHECK,,FALSE,204 W Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003956,,,Credit Memo,,08/19/2025,Closed,,,794.00,0.00,0.00,0.00,0.00,08/19/2025,11102,"Clifton, NJ",BA021519,Wybrook Construction,Christopher Shields,,,X,,,,,244 W Passaic St,,Rochelle Park,NJ,7662,TRUE,,CHECK,,FALSE,204 W Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003955,,,Credit Memo,,08/19/2025,Closed,,,"1,090.00",0.00,0.00,0.00,0.00,08/19/2025,11102,"Clifton, NJ",BA021519,Wybrook Construction,Christopher Shields,,,X,,,,,244 W Passaic St,,Rochelle Park,NJ,7662,TRUE,,CHECK,,FALSE,204 W Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003954,,,Credit Memo,,08/19/2025,Closed,,,102.00,0.00,0.00,0.00,0.00,08/19/2025,11102,"Clifton, NJ",BA021519,Wybrook Construction,Christopher Shields,,,X,,,,,244 W Passaic St,,Rochelle Park,NJ,7662,TRUE,,CHECK,,FALSE,204 W Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003952,,,Credit Memo,PF001721,08/19/2025,Closed,,,410.00,0.00,410.00,0.00,0.00,08/19/2025,11102,"Clifton, NJ",BA021553,1611469 Wakefern,Christopher Shields,TRUE,,PR00045672,01/26/2024,Complete/Job Ready to Cost,Paid in Full,09/26/2024,221 West Passaic,,Rochelle Park,NJ,7662,TRUE,,CHECK,BA021519,FALSE,250 Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003951,,,Credit Memo,,08/18/2025,Balanced,,,"1,649.65",0.00,"1,649.65",0.00,0.00,08/18/2025,11100,"Milwaukee, WI",BA020538,Studio One Art Glass,Ray Hollnagel,,,X,,,,,,,,,53172,TRUE,kim@studiooneartglass.com,CHECK,,FALSE,,,,,53172,Megan Block
AR003950,,,Credit Memo,PF001720,08/01/2025,Closed,,,125.49,0.00,125.49,0.00,0.00,08/01/2025,11100,"Milwaukee, WI",BA002055,Facility Services Group,Paul Brissman,TRUE,,PR00045731,03/29/2024,Job Complete,Paid in Full,,N2620 Harris Rd,,Lake Geneva,WI,53147,TRUE,,CHECK,,FALSE,317 Oakton Ave,,Pewaukee,WI,53072,Megan Block
AR003949,,,Debit Memo,,08/01/2025,Closed,NET 5,08/06/2025,125.49,0.00,0.00,0.00,0.00,08/01/2025,11100,"Milwaukee, WI",BA002055,Facility Services Group,Paul Brissman,,,X,,,,,317 Oakton Ave,,Pewaukee,WI,53027,TRUE,,CHECK,,FALSE,317 Oakton Ave,,Pewaukee,WI,53072,Megan Block
AR003941,,,Credit Memo,,08/18/2025,Closed,,,"1,649.65",0.00,0.00,0.00,0.00,08/18/2025,11100,"Milwaukee, WI",BA020538,Studio One Art Glass,Ray Hollnagel,,,X,,,,,,,,,53172,TRUE,kim@studiooneartglass.com,CHECK,,FALSE,,,,,53172,Megan Block
AR003940,,,Credit Memo,,08/01/2025,Closed,,,125.49,0.00,0.00,0.00,0.00,08/01/2025,11100,"Milwaukee, WI",BA002055,Facility Services Group,Paul Brissman,,,X,,,,,317 Oakton Ave,,Pewaukee,WI,53027,TRUE,,CHECK,,FALSE,317 Oakton Ave,,Pewaukee,WI,53072,Megan Block
AR003937,,,Credit Memo,,08/18/2025,Closed,,,0.00,0.00,0.00,0.00,0.00,08/18/2025,11100,"Milwaukee, WI",BA021519,Wybrook Construction,Christopher Shields,,,X,,,,,244 W Passaic St,,Rochelle Park,NJ,7662,TRUE,,CHECK,,FALSE,204 W Passaic St,,Rochelle Park,NJ,7662,Megan Block
AR003936,,,Credit Memo,PF001710,08/01/2025,Closed,,,"24,525.00",0.00,"24,525.00",0.00,0.00,08/01/2025,11100,"Milwaukee, WI",BA010575,169512 MJ Berg LLC,Scott Martin,,,PR00040839,01/01/2005,,,09/26/2024,,,,,,TRUE,,CHECK,,FALSE,500 S Division St,,Waunakee,WI,53597,Megan Block
AR003930,,,Invoice,PF001705,08/17/2025,Open,NET 5,08/22/2025,"2,607.23",0.00,"2,607.23",0.00,0.00,,11100,"Milwaukee, WI",BA023490,Accurate Roof Management,Khary Penebaker,,,PR00051867,08/08/2025,Complete/Job Ready to Cost,Billed in Full,,"626 Pine St, Unit D Hartford, WI 53027",,,,,TRUE,dillyn@accurateroofmanagement.com,CHECK,,FALSE,"626 Pine St, Unit D Hartford, WI 53027",,,,,Khary Penebaker
AR003929,,,Invoice,PF001704,08/17/2025,Open,RECEIPT,08/17/2025,500.00,0.00,500.00,0.00,0.00,,11125,RRA National LLC,BA004906,NA Pegnato Roofing Intelligence Netwo,Khary Penebaker,TRUE,,PR00051985,08/15/2025,Complete/Job Ready to Cost,Billed in Full,,"7201 South 76th Street, Franklin, WI 53132",,Franklin,WI,53132,TRUE,,CHECK,,FALSE,4307 Roma Ct,,Marina Del Rey,CA,90292,Khary Penebaker
AR003928,,,Invoice,PF001703,08/17/2025,Open,NET30,09/16/2025,400.00,0.00,400.00,0.00,0.00,,11125,RRA National LLC,BA011910,169866 NORTH AMERICAN REPAIRS,Khary Penebaker,TRUE,,PR00051927,08/13/2025,Complete/Job Ready to Cost,Billed in Full,,"4610 S 76th Street Greenfield, WI 53220",,Greenfield,WI,53220,TRUE,,FEDWIRE,,FALSE,"18795 W Bluemound Rd, Brookfield, WI 53045",,"Brookfield,",WI,53045,Khary Penebaker
AR003927,,,Invoice,PF001702,08/16/2025,Open,NET30,09/15/2025,800.00,0.00,800.00,0.00,0.00,,11125,RRA National LLC,BA008738,167471 ROOF CONNECT,Khary Penebaker,TRUE,,PR00051924,08/13/2025,Complete/Job Ready to Cost,Billed in Full,,"510 N Margaret St, Markesan, WI 53946",,Markesan,WI,53946,TRUE,,CHECK,,FALSE,44 Grant 65,,Sheridan,AR,72150,Khary Penebaker
AR003926,,,Invoice,PF001701,08/16/2025,Open,RECEIPT,08/16/2025,500.00,0.00,500.00,0.00,0.00,,11125,RRA National LLC,BA004906,NA Pegnato Roofing Intelligence Netwo,Khary Penebaker,TRUE,,PR00051902,08/12/2025,Complete/Job Ready to Cost,Billed in Full,,"16070 W Bluemound Rd. Brookfield, WI 53005",,Brookfield,WI,90292,TRUE,,CHECK,,FALSE,4307 Roma Ct,,Marina Del Rey,CA,90292,Khary Penebaker
AR003925,,,Invoice,PF001700,08/16/2025,Open,NET30,09/15/2025,493.03,0.00,493.03,0.00,0.00,,11125,RRA National LLC,BA002301,161863 Bear Property Management,Brian Gallagher,TRUE,,PR00051887,08/11/2025,Complete/Job Ready to Cost,Billed in Full,,4015 80th St,,Kenosha,WI,53142,TRUE,ap@bearproperty.com,CHECK,,FALSE,4015 80th St,,Kenosha,WI,53142,Khary Penebaker
AR003924,,,Invoice,PF001699,08/16/2025,Open,NET30,09/15/2025,983.29,0.00,983.29,0.00,0.00,,11125,RRA National LLC,BA002301,161863 Bear Property Management,Brian Gallagher,TRUE,,PR00051888,08/11/2025,Complete/Job Ready to Cost,Billed in Full,,"Forward Dental 3620 57th Ave Suite 600, Kenosha, W",,Kenosha,WI,53144,TRUE,ap@bearproperty.com,CHECK,,FALSE,4015 80th St,,Kenosha,WI,53142,Khary Penebaker
AR003923,,,Invoice,PF001698,08/16/2025,Open,NET30,09/15/2025,400.00,0.00,400.00,0.00,0.00,,11125,RRA National LLC,BA008738,167471 ROOF CONNECT,Khary Penebaker,TRUE,,PR00051975,08/15/2025,Complete/Job Ready to Cost,Billed in Full,,115 North Wales Road,,Wales,WI,53183,TRUE,,CHECK,,FALSE,44 Grant 65,,Sheridan,AR,72150,Khary Penebaker
AR003922,,,Invoice,PF001697,08/16/2025,Open,NET60,10/15/2025,"1,200.00",0.00,"1,200.00",0.00,0.00,,11125,RRA National LLC,BA002066,161996 National Roofing Partners,Khary Penebaker,TRUE,,PR00051872,08/08/2025,Complete/Job Ready to Cost,Billed in Full,,"6905 Odana Rd Madison, WI 53719 USA",,Madison,WI,53719,TRUE,accounting@rlnrp.com,FEDWIRE,,FALSE,621 TX-121 #400,,Coppell,TX,75019,Khary Penebaker
AR003921,,,Invoice,PF001696,08/16/2025,Open,NET30,09/15/2025,"1,500.00",0.00,"1,500.00",0.00,0.00,,11125,RRA National LLC,BA002117,162035 Roth Brothers Inc,Khary Penebaker,TRUE,,PR00051879,08/11/2025,Complete/Job Ready to Cost,Billed in Full,,"USPS - MILWAUKEE - NORTH MILWAUKEE STATION, WI  53",,Milwaukee,WI,53209,TRUE,,CHECK,,FALSE,3821 Crum Rd,,Youngstown,OH,44515,Khary Penebaker
AR003920,,,Invoice,PF001695,08/16/2025,Open,NET30,09/15/2025,400.00,0.00,400.00,0.00,0.00,,11125,RRA National LLC,BA011910,169866 NORTH AMERICAN REPAIRS,Khary Penebaker,TRUE,,PR00051852,08/06/2025,Complete/Job Ready to Cost,Billed in Full,,"6211 Mckee Road Madison, WI 53719",,Madison,WI,53045,TRUE,,FEDWIRE,,FALSE,"18795 W Bluemound Rd, Brookfield, WI 53045",,"Brookfield,",WI,53045,Khary Penebaker
AR003919,,,Invoice,PF001694,08/16/2025,Open,NET30,09/15/2025,"1,500.00",0.00,"1,500.00",0.00,0.00,,11100,"Milwaukee, WI",BA002117,162035 Roth Brothers Inc,Khary Penebaker,TRUE,,PR00051713,07/22/2025,Complete/Job Ready to Cost,Billed in Full,,"24 N JACOBS ST, ALBANY, TX 76430-5947",,Albany,TX,76430,TRUE,,CHECK,,FALSE,3821 Crum Rd,,Youngstown,OH,44515,Khary Penebaker
AR003918,,,Invoice,PF001693,08/16/2025,Open,RECEIPT,08/16/2025,500.00,0.00,500.00,0.00,0.00,,11125,RRA National LLC,BA004906,NA Pegnato Roofing Intelligence Netwo,Khary Penebaker,TRUE,,PR00051780,07/29/2025,Complete/Job Ready to Cost,Billed in Full,,"10280 E. Technology Blvd Dallas, TX 75220",,Dallas,TX,75220,TRUE,,CHECK,,FALSE,4307 Roma Ct,,Marina Del Rey,CA,90292,Khary Penebaker
